UMAP1,UMAP2,leiden,cell_type,is_KC,rut_expression
1.6519552,-6.451101,52,108,0,0.0
6.59815,8.339026,57,AST,0,0.0
-2.8607106,-3.0072584,49,79,0,0.0
1.4619209,-5.7549214,49,23,0,0.0
3.140233,-7.546214,52,108,0,1.0
10.026037,2.902704,51,PNG,0,0.0
-0.56846946,-4.596752,48,36,0,0.0
-2.1297245,-2.7383368,48,12,0,1.0
4.557529,-1.3579437,54,15a,0,0.0
-0.75104153,-0.44173172,48,27,0,0.0
-7.604262,0.18418789,51,TmY5a,0,0.0
6.2037897,2.8933592,51,33,0,0.0
-3.1422918,-12.9855585,50,PAM,0,0.0
-10.779867,8.661033,49,G-KC,1,6.0
-2.6424434,-3.7915947,48,12,0,4.0
-8.756282,6.3104157,50,A/B-KC,1,1.0
-3.9917874,-4.6929865,50,14,0,1.0
-5.435424,-4.5685444,51,OPN,0,2.0
0.29204026,-6.497769,52,6,0,2.0
9.265719,-1.1875893,50,90,0,0.0
1.4947568,-6.7619557,52,108,0,0.0
1.9742986,-2.8554325,49,67,0,0.0
-1.8418186,-3.2536676,48,99,0,1.0
5.8747883,5.366745,57,65,0,1.0
9.501821,-1.1788307,50,90,0,1.0
-10.627215,-6.8128743,49,Mi1,0,1.0
-1.1739012,-3.9999294,48,38,0,0.0
-0.4613891,-6.8272476,52,50,0,3.0
-2.6904674,-4.885132,50,18,0,1.0
2.7520394,6.6695065,53,T4/T5,0,2.0
7.2379746,3.762543,51,33,0,0.0
-2.1567843,-7.819672,49,8,0,0.0
4.4887476,-1.0460497,54,15a,0,0.0
2.6394062,0.05215195,54,72,0,0.0
0.15353835,-7.3188796,52,108,0,1.0
1.0374455,-1.0521966,51,53,0,2.0
-2.900455,-4.88799,49,95,0,0.0
-3.8172975,-4.968986,50,14,0,2.0
-1.0947722,-1.2168475,51,Tm3,0,0.0
9.155896,3.721278,51,ENS,0,0.0
-3.9724677,1.4645703,53,131,0,0.0
1.7835245,-0.18815958,51,LPi-34,0,0.0
0.058788005,0.38912085,56,34,0,0.0
1.6583608,-8.328025,52,LLPC1,0,0.0
-1.9552763,-0.26157147,49,128,0,0.0
2.1658874,7.0016384,53,T4/T5,0,1.0
-3.1131024,1.6667829,49,165,0,0.0
8.090148,3.985086,51,ENS,0,0.0
0.42066413,-9.616299,49,dFB_A,0,0.0
6.238397,5.6774,57,AST,0,0.0
-1.3042275,0.79756594,55,55,0,0.0
-2.180475,11.941543,52,Dm8/Dm11,0,1.0
5.426199,0.46033543,54,Dm3,0,0.0
-4.6514173,2.2263634,52,61,0,0.0
4.4172664,-1.1168773,54,15a,0,0.0
-1.8861846,-4.2597375,48,64,0,2.0
3.4429207,-3.0000489,50,24,0,0.0
-5.0120983,3.4222026,52,61,0,0.0
1.5091351,-12.575532,49,Tm1/TmY8,0,1.0
-5.7139506,5.0566564,50,Tm9,0,0.0
-2.7777195,-7.2746444,49,14,0,0.0
-2.8926919,2.781074,55,127,0,1.0
2.1297228,0.9519451,51,87,0,0.0
-3.9759104,1.5045584,53,131,0,1.0
-5.9192333,-8.769736,50,81,0,1.0
0.09495678,-5.198469,48,94,0,2.0
7.559942,9.016679,57,AST,0,0.0
-5.021133,-6.2848635,51,OPN,0,0.0
-8.961701,5.7060637,50,A/B-KC,1,0.0
11.0639,-4.0355535,51,PNG,0,0.0
1.2488152,-13.447578,49,Tm1/TmY8,0,0.0
-1.6012357,-3.825784,48,OPN,0,1.0
-2.8061929,-1.550143,49,89,0,1.0
-3.814342,-3.5527542,49,39,0,0.0
-1.1312352,-4.7747736,48,36,0,0.0
-3.2955303,1.5076535,49,165,0,0.0
-3.0078075,0.6460883,49,109,0,1.0
2.7369738,7.610785,53,T4/T5,0,0.0
-1.98873,-5.705698,50,18,0,0.0
-2.0508616,-3.0114498,48,11,0,0.0
11.344853,4.8090296,51,ENS,0,0.0
-2.5155659,-4.8979692,50,150,0,1.0
1.4195437,-7.480634,52,LLPC1,0,0.0
0.33223954,-9.485108,49,dFB_A,0,0.0
-2.251468,-1.4276505,49,89,0,0.0
-1.1318691,-0.6896434,48,79,0,0.0
-3.0306983,-1.8272355,49,LPLC1/2,0,1.0
-1.6438909,4.7106013,49,Dm10,0,1.0
-9.029179,-0.64722055,50,121,0,0.0
0.7191036,-3.728243,49,7,0,1.0
-1.2344615,-8.313808,49,8,0,0.0
8.663698,5.1296434,51,ENS,0,0.0
-0.34173274,-5.0803523,50,100,0,2.0
0.7188747,-7.3520317,52,6,0,0.0
-0.63820285,-3.8246882,48,65,0,0.0
-5.277749,-0.07879044,51,126,0,0.0
7.90523,4.8382735,51,ENS,0,0.0
3.3295095,-0.6628342,54,125,0,1.0
1.7762471,-3.3695214,49,67,0,0.0
10.087796,-1.0578474,50,90,0,0.0
2.7019818,-3.0809386,49,172,0,1.0
2.3443727,1.3916501,51,87,0,0.0
6.3902674,6.649902,57,AST,0,0.0
-6.4915886,11.419774,50,T2a,0,1.0
6.626984,6.645257,57,AST,0,0.0
6.7295513,5.6036353,57,AST,0,0.0
7.6147666,9.016961,57,AST,0,0.0
1.6805855,-5.900204,49,23,0,0.0
-10.768236,8.571118,49,G-KC,1,3.0
-3.2191386,-7.179751,50,14,0,1.0
0.09443349,9.973644,49,5,0,3.0
-1.797668,0.5119766,56,19,0,0.0
-10.692358,7.608263,49,G-KC,1,3.0
4.7696996,0.33609208,54,Dm3,0,0.0
3.3866482,-0.89374566,54,125,0,0.0
9.965942,-2.9734795,51,PNG,0,0.0
4.704525,-1.390667,54,15a,0,0.0
-10.448047,7.670824,49,G-KC,1,0.0
-2.4427814,0.31928477,49,109,0,0.0
5.2556763,0.68399626,54,Dm3,0,0.0
-0.46291384,-9.868073,51,98,0,0.0
3.1635234,3.5981324,52,L2/L3,0,1.0
1.0979644,-3.0321414,49,78,0,0.0
4.1842804,-0.99139047,54,15a,0,0.0
-1.07438,6.1589117,52,C2,0,2.0
2.051544,-3.2111797,49,67,0,0.0
-13.20818,1.9457622,49,T3,0,0.0
-0.40338984,-2.556752,48,25,0,0.0
-0.38196117,6.36334,52,C2,0,0.0
-6.2586675,2.414096,50,PB4/5,0,0.0
3.9140146,-0.61094344,54,15a,0,0.0
-1.4687492,2.3398447,55,69,0,0.0
1.8045368,-4.8778634,49,7,0,3.0
-0.981441,-2.9288788,48,71,0,0.0
0.9098914,1.7275667,56,57,0,0.0
1.8755558,-3.1214972,49,67,0,1.0
-3.1710818,-4.7322,49,95,0,0.0
-1.0390378,-7.5880675,49,122,0,0.0
6.2774143,6.427235,57,AST,0,0.0
-2.3922412,1.6314975,56,19,0,0.0
-10.931781,8.273258,49,G-KC,1,3.0
2.7442293,11.682712,51,C3,0,2.0
7.9918637,3.7564156,51,ENS,0,0.0
-4.01511,-11.486061,50,OCTY,0,0.0
3.2766995,0.7014262,54,158,0,0.0
7.0629697,5.815434,57,AST,0,0.0
1.327547,-4.099188,49,Clock_B,0,0.0
-11.436971,6.4168587,49,A/B*-KC,1,1.0
1.9148861,-2.0558221,51,TmY5a,0,0.0
0.7181988,-5.240467,49,62,0,0.0
-6.380872,2.3223557,50,PB4/5,0,0.0
-3.5732706,-2.9157872,51,58,0,0.0
-2.682531,-4.691067,51,168,0,1.0
-1.7114004,-4.511435,51,168,0,0.0
-2.3418865,-7.609948,49,8,0,0.0
-0.79230547,-2.7690864,48,38,0,1.0
-0.051996905,-0.8174378,48,27,0,0.0
-7.308328,-4.802796,53,Poxn,0,0.0
-11.624757,5.928181,49,A/B*-KC,1,2.0
-3.9416614,-6.686829,51,OPN,0,4.0
-6.025545,0.8219391,49,Mi9,0,0.0
7.3411345,6.701203,57,AST,0,0.0
-3.2119503,-6.8378444,49,84,0,4.0
6.1652865,5.2811437,57,65,0,0.0
-2.7394447,-7.3763905,49,8,0,0.0
7.250732,6.181109,57,AST,0,0.0
-8.277448,-3.8099134,53,173,0,0.0
9.254785,3.8382733,51,ENS,0,0.0
1.0815752,3.2956972,52,TmY3,0,1.0
-0.395785,0.12130601,56,80,0,0.0
-5.725894,-3.0985775,51,58,0,3.0
-2.8477607,-4.747064,50,18,0,2.0
4.402994,-5.410523,53,Clock_C,0,0.0
1.2884725,-4.800483,49,62,0,0.0
